image,reason,representative
training/11.jpg,near_identical_jpeg_reencode,validation/5.jpg
training/116.jpg,maturity_class_conflict,
training/120.jpg,near_identical_jpeg_reencode,validation/33.jpg
training/123.jpg,near_identical_jpeg_reencode,validation/34.jpg
training/128.jpg,missing_annotation,
training/13.jpg,maturity_class_conflict,
training/135.jpg,near_identical_jpeg_reencode,validation/35.jpg
training/138.jpg,near_identical_jpeg_reencode,validation/36.jpg
training/139.jpg,near_identical_jpeg_reencode,validation/37.jpg
training/140.jpg,near_identical_jpeg_reencode,validation/38.jpg
training/146.jpg,missing_annotation,
training/154.jpg,near_identical_jpeg_reencode,validation/40.jpg
training/163.jpg,near_identical_jpeg_reencode,validation/43.jpg
training/170.jpg,near_identical_jpeg_reencode,validation/44.jpg
training/172.jpg,near_identical_jpeg_reencode,validation/46.jpg
training/174.jpg,maturity_class_conflict,
training/181.jpg,near_identical_jpeg_reencode,validation/49.jpg
training/189.jpg,near_identical_jpeg_reencode,validation/51.jpg
training/194.jpg,near_identical_jpeg_reencode,validation/54.jpg
training/219.jpg,near_identical_jpeg_reencode,validation/57.jpg
training/223.jpg,near_identical_jpeg_reencode,validation/60.jpg
training/229.jpg,near_identical_jpeg_reencode,validation/61.jpg
training/230.jpg,near_identical_jpeg_reencode,validation/63.jpg
training/235.jpg,near_identical_jpeg_reencode,validation/64.jpg
training/238.jpg,near_identical_jpeg_reencode,validation/65.jpg
training/242.jpg,near_identical_jpeg_reencode,validation/66.jpg
training/258.jpg,near_identical_jpeg_reencode,validation/67.jpg
training/260.jpg,maturity_class_conflict,
training/271.jpg,missing_annotation,
training/288.jpg,near_identical_jpeg_reencode,validation/72.jpg
training/291.jpg,near_identical_jpeg_reencode,validation/74.jpg
training/297.jpg,near_identical_jpeg_reencode,validation/76.jpg
training/311.jpg,near_identical_jpeg_reencode,validation/78.jpg
training/318.jpg,maturity_class_conflict,
training/321.jpg,near_identical_jpeg_reencode,validation/80.jpg
training/325.jpg,near_identical_jpeg_reencode,validation/81.jpg
training/335.jpg,near_identical_jpeg_reencode,validation/83.jpg
training/337.jpg,near_identical_jpeg_reencode,validation/85.jpg
training/342.jpg,near_identical_jpeg_reencode,validation/87.jpg
training/35.jpg,near_identical_jpeg_reencode,validation/13.jpg
training/36.jpg,near_identical_jpeg_reencode,validation/14.jpg
training/361.jpg,near_identical_jpeg_reencode,validation/90.jpg
training/362.jpg,near_identical_jpeg_reencode,validation/91.jpg
training/371.jpg,near_identical_jpeg_reencode,validation/94.jpg
training/38.jpg,missing_annotation,
training/400.jpg,missing_annotation,
training/412.jpg,near_identical_jpeg_reencode,validation/99.jpg
training/418.jpg,near_identical_jpeg_reencode,validation/100.jpg
training/431.jpg,near_identical_jpeg_reencode,validation/102.jpg
training/447.jpg,near_identical_jpeg_reencode,validation/106.jpg
training/460.jpg,near_identical_jpeg_reencode,validation/108.jpg
training/462.jpg,missing_annotation,
training/465.jpg,near_identical_jpeg_reencode,validation/109.jpg
training/479.jpg,near_identical_jpeg_reencode,validation/111.jpg
training/483.jpg,near_identical_jpeg_reencode,validation/114.jpg
training/485.jpg,near_identical_jpeg_reencode,validation/116.jpg
training/493.jpg,near_identical_jpeg_reencode,validation/117.jpg
training/495.jpg,near_identical_jpeg_reencode,validation/118.jpg
training/50.jpg,near_identical_jpeg_reencode,validation/19.jpg
training/506.jpg,near_identical_jpeg_reencode,validation/119.jpg
training/515.jpg,near_identical_jpeg_reencode,validation/120.jpg
training/52.jpg,near_identical_jpeg_reencode,validation/20.jpg
training/526.jpg,near_identical_jpeg_reencode,validation/121.jpg
training/58.jpg,near_identical_jpeg_reencode,validation/21.jpg
training/61.jpg,near_identical_jpeg_reencode,validation/22.jpg
training/630.jpg,missing_annotation,
training/64.jpg,near_identical_jpeg_reencode,validation/23.jpg
training/72.jpg,near_identical_jpeg_reencode,validation/24.jpg
training/76.jpg,near_identical_jpeg_reencode,validation/26.jpg
training/8.jpg,near_identical_jpeg_reencode,validation/2.jpg
training/86.jpg,missing_annotation,
training/88.jpg,near_identical_jpeg_reencode,validation/28.jpg
training/98.jpg,near_identical_jpeg_reencode,validation/29.jpg
validation/107.jpg,missing_annotation,
validation/12.jpg,missing_annotation,
validation/32.jpg,maturity_class_conflict,
validation/45.jpg,missing_annotation,
validation/47.jpg,maturity_class_conflict,
validation/6.jpg,maturity_class_conflict,
validation/68.jpg,maturity_class_conflict,
validation/79.jpg,maturity_class_conflict,
