image_a,image_b,decision,reason
training/111.jpg,training/372.jpg,merge,reviewed_high_embedding_same_capture_domain
training/117.jpg,training/12.jpg,merge,reviewed_high_embedding_same_capture_domain
training/117.jpg,training/252.jpg,merge,reviewed_high_embedding_same_capture_domain
training/117.jpg,training/85.jpg,merge,reviewed_high_embedding_same_capture_domain
training/12.jpg,training/338.jpg,merge,reviewed_high_embedding_same_capture_domain
training/12.jpg,training/411.jpg,merge,reviewed_high_embedding_same_capture_domain
training/12.jpg,training/499.jpg,merge,reviewed_high_embedding_same_capture_domain
training/12.jpg,training/508.jpg,merge,reviewed_high_embedding_same_capture_domain
training/12.jpg,training/85.jpg,merge,reviewed_high_embedding_same_capture_domain
training/131.jpg,training/499.jpg,merge,reviewed_high_embedding_same_capture_domain
training/131.jpg,training/508.jpg,merge,reviewed_high_embedding_same_capture_domain
training/160.jpg,training/200.jpg,merge,reviewed_high_embedding_same_capture_domain
training/160.jpg,training/354.jpg,merge,reviewed_high_embedding_same_capture_domain
training/171.jpg,training/234.jpg,merge,reviewed_high_embedding_same_capture_domain
training/171.jpg,training/425.jpg,merge,reviewed_high_embedding_same_capture_domain
training/191.jpg,training/499.jpg,merge,reviewed_high_embedding_same_capture_domain
training/200.jpg,training/354.jpg,merge,reviewed_high_embedding_same_capture_domain
training/200.jpg,training/400.jpg,merge,reviewed_high_embedding_same_capture_domain
training/200.jpg,training/462.jpg,merge,reviewed_high_embedding_same_capture_domain
training/201.jpg,training/253.jpg,merge,reviewed_high_embedding_same_capture_domain
training/206.jpg,training/434.jpg,merge,reviewed_high_embedding_same_capture_domain
training/209.jpg,training/411.jpg,merge,reviewed_high_embedding_same_capture_domain
training/209.jpg,training/499.jpg,merge,reviewed_high_embedding_same_capture_domain
training/209.jpg,training/508.jpg,merge,reviewed_high_embedding_same_capture_domain
training/234.jpg,training/253.jpg,merge,reviewed_high_embedding_same_capture_domain
training/234.jpg,training/354.jpg,merge,reviewed_high_embedding_same_capture_domain
training/234.jpg,training/54.jpg,merge,reviewed_high_embedding_same_capture_domain
training/241.jpg,training/301.jpg,merge,reviewed_high_embedding_same_capture_domain
training/241.jpg,training/523.jpg,merge,reviewed_high_embedding_same_capture_domain
training/241.jpg,training/91.jpg,merge,reviewed_high_embedding_same_capture_domain
training/253.jpg,training/3.jpg,merge,reviewed_high_embedding_same_capture_domain
training/253.jpg,training/354.jpg,merge,reviewed_high_embedding_same_capture_domain
training/253.jpg,training/54.jpg,merge,reviewed_high_embedding_same_capture_domain
training/261.jpg,training/353.jpg,merge,reviewed_high_embedding_same_capture_domain
training/3.jpg,training/54.jpg,merge,reviewed_high_embedding_same_capture_domain
training/306.jpg,training/386.jpg,merge,reviewed_high_embedding_same_capture_domain
training/306.jpg,training/437.jpg,merge,reviewed_high_embedding_same_capture_domain
training/306.jpg,training/89.jpg,merge,reviewed_high_embedding_same_capture_domain
training/329.jpg,training/372.jpg,merge,reviewed_high_embedding_same_capture_domain
training/360.jpg,training/372.jpg,merge,reviewed_high_embedding_same_capture_domain
training/400.jpg,training/462.jpg,merge,reviewed_high_embedding_same_capture_domain
training/411.jpg,training/499.jpg,merge,reviewed_high_embedding_same_capture_domain
training/411.jpg,training/508.jpg,merge,reviewed_high_embedding_same_capture_domain
training/411.jpg,training/85.jpg,merge,reviewed_high_embedding_same_capture_domain
training/425.jpg,training/437.jpg,merge,reviewed_high_embedding_same_capture_domain
training/462.jpg,training/54.jpg,merge,reviewed_high_embedding_same_capture_domain
training/470.jpg,training/508.jpg,merge,reviewed_high_embedding_same_capture_domain
training/492.jpg,training/69.jpg,merge,reviewed_high_embedding_same_capture_domain
training/499.jpg,training/508.jpg,merge,reviewed_high_embedding_same_capture_domain
training/499.jpg,training/85.jpg,merge,reviewed_high_embedding_same_capture_domain
training/508.jpg,training/85.jpg,merge,reviewed_high_embedding_same_capture_domain
